text,label
youngk cant you please    dying sama improvisasi nya,0
ada yang twitter nya kaya saya gini  twitter not responding        fighting fams     rt     vote  do not stop pls    ,1
user keparat,0
mohon tampilan website di mobile diperbaiki  susah sangat pilih tanggal dan back ke halaman pilihan kantor imigrasi tidak friendly used mobile interfacenya  aplikasi di appstore juga tidak ada,1
handcream jp    k   photo set carland   k   tc ideal cut final scene   k   ada shopee juga ,1
ok kak  silakan infokan nomor internet via direct message   agar kami bantu cek lebih lanjut kondisi koneksi jaringannya saat ini dan jangan lupa follow back kami  ditunggu konfirmasinya  thanks  micky,1
wow aku nya sih okay  kalau dompet not okay,0
sebenarnya kasian sangat  dia juga cari duit tapi malah dilakukan begini sama penumpangnya  memang sih  disatu sisi kamu pun juga ada urusan but at least give him some money,1
 hal hal  kecil  yang kita anggap remeh  seperti gampang bohong  gampang marah  bisa jadi sumber petaka di kemudian hari  if s he wants to change  good  if not  will you be their superhero   ,1
sudah tidak ada gorengan lagi boss,0
and   lagi  saya kemana mana selalu hoodie an  terus ikat tali hoodie kepala juga supaya tidak lepas  ya segini nya saya  sekali nya tidak pakai hoodie berasa telanjang padahal masih pakai baju  duh kebiasaan ku,0
bajingan homo    hati hati terhadap anak anak kita terutama di kamar mandi laki laki  jangan biarkan sendiri ,0
sakit nder  soalnya semarah apapun atau sesantai apapun mamahku tidak pernah segitunya sih  tapi ya balik lagi ke keadaan keluarga masing masing  kalau kamu okay dan mamahmu slow  ya why not ,1
terus tiap kalimat kedua yang diucapkan harus berisi konsep filsafat  not my cup of tea,0
not talking about the political content  tapi konsep kontennya sendiri keren lho ini ,1
and do not foranget she wears high heels  waktu itu mba suran high heelsnya lumayan tinggi    cuma ada kali ya  ,1
fokus sama pesan pertama n utama mamaknya   jaga sholat  good luck yogi ,1
ini kalau di hitung hitung  kubu    keluarin berapa kartu buat narik dukungan rakyat yah       aja udah banyak kartunya  sekarang nambah lagi  we need concept  not cards,0
follow back cepat,0
user sirik aja nih onta,0
last but not least nih rekan buana     sapa dosen diluar kelas ini terlihat muda loh rekan buana namun masih banyak dari mahasiswa yang malas melakukan hal sederhana ini karena takut maupun sungkan dengan dosen pengampuhnya     keep streaming only on,1
well guys  semesta selalu adil untuk memutar roda kehidupanmu  biar kamu ingat apa saja yang pernah kamu lakukan dulu  mungkin sekarang adalah salah satu balasannya   ,1
well  sekarang banyak yang percaya sama the power of  terbiasa ,1
sudah siap siap istirahat kah  hari yang menyenangkan nih  well tak lupa ya rasa syukurnya selalu naw segera istirahat gih esok show   ada apa ya  good night,1
kesel itu when you uda ngantuk mau tidur tapi tiba tiba laper,0
langsung mention orangnya dong zak  pengecut sangat kamu,0
budayakan membaca detail sebelum chat yaaa as written on my bio aku tuh exclude  dan please i am not a bloody tradisonal market  so no nawar nawar,0
titik temu tapi panas kalau siang  sleepyhead is not bad either,0
pak cawapres bicara soal startup ada        perbandingan yang digunakan adalah industri startup di iran    i kid you fucking not i am not making this up  only in indonesia    sekali ini penontonnya aja bengong ,0
it is not that hard kak  nanti juga terlewati   ,1
kroasia itu kafir tau untuk apa belajar sama kafir sudah lupa sama kaveling surga   ,0
kebab dibalik babek  mirip bebek   bebek bahasa turki dari bayi   coincidence  i think not  ,1
masih on going saya mah,1
ada       ektp saya dah pake chip    waktu itu pernah ke dukcapil  ambil nomor antrian harus nempelin ktp ke mesin    bppt juga sudah bikin alat untuk nge detect chip ektp  cari di youtube deh  akun resmi bppt     lu bisa cek sendiri ektp lu udah berchip or belum pake nfc di hp ,1
 just because i punched the walls  does not mean i will punch you  jadi tidak perlu khawatir   key menyungging senyum tipis sambil memasang helm dan menaiki motornya    yuk  ,1
pernah punya temen fake dan pencitraan nya sampai bikin mau muntah   well  i have ,0
malam ini  arti sesungguhnya dari kalimat benar benar ditunjukkan para pemain thanks boys  well done  epic comeback  ,1
makasih semua just hit   million follows on insta specially abqars  love you guys so much,1
 well saya salah kalimat harusnya sebelum kata ngobrolin saya tambahin bisa,0
seperti semalem saya nonton run jam    terus ada we all lie nya eh merinding  hahay kocak dah   ,1
posisi negatif nya adalah    tukang kerja yang nyebelin  tukang gossip  dan kalau ngomong suka gede     gaji  well ini dia tapi waktu resign sempet pikir panjang sih  karena sudah nyaman sangat  dan udah dekat sangat sama temennya  tapi saya percaya berarti tuhan mau kasih kerjaan yang terbaik,0
kesimpulan hidup sampai hari ini  very unpredictable and unexpected  makanya jangan percaya sama fortune teller  no one knows whats gonna happen next,1
when hari ini kamis dan di kantor batik day  dan tak sengaja ada orang yang sama persis baju batiknya  fix langsung pake jaket,1
pertama tama saya tidak mau kalian yang baca ini pikir kalau saya itu homophobic or else  itu semua   choice  atau pilihan mereka untuk jadi seperti itu  i am not a homophobic  saya tidak bisa dan tidak mau mengganggu urusan mereka karena itu pilihan jalan hidup mereka yang tidak bisa saya ganggu gugat ,0
isi slot neng yuk open jakarta selatan kemang ya wajib down payment info bo direct message aja or whatsapp langsung oh ya bisa neng di jakarta timur ya isi slot dari sekarang juga bisa   ,0
kenapa sih kamu ketawa mulu  bangsat,0
saya jemput ke ruangannya  memastikan ini benar tidak saya pergi  kira kira begini pembicaraannya   bapak yakin saya ikut training    yes  you are    ini isinya pujian semua   but my english is not well   do not worry   jangan pikirin soal bahasa  nanti kalau kamu lihat juga mengerti ,1
tapi tugasku on going semua yang selesai cuma beberapa,1
when you see this tapi kelakuan kamu masih tetap seperti anjing  aku hanya bisa geleng geleng kepala saja hehe,0
akan ada masanya  when you have pets   nama you dipanggil buat kucing  nama kucing buat manggil you    yup  mama eyke  ,0
secara constitutional hak setiap rakyat woiii     gini nih kalo bingung tapi kelakuan otoriter ,0
baru ngeh ada web series dari blued yang berjudul bianglala ini  kemana aje    not too bad kok  plenty room for improvement  tapi mayan untuk mengobati kerinduan web series tentang dunia lgbt di indonesia  always love sunny soon yang sipit gemesin itu ,0
ngapain di retweet sompret,0
with you all      talking with friends about perfect timing  but i think everything is perfect in that moment      i enjoy the feeling of the fresh air on my face and the wind blowing  ,1
buat yang nungguin after credit kedua nya capt marvel mening gausa not worth your time,0
not cuma ada    tapi bisa bikin berjuta  melodi  sama seperti kita  cuma ada dua  tapi bikin dunia jadi warna warni  teens_abel,1
katanya sih perempuan bakal suka sangat sama laki laki yang  loves his mom a lot and doing everythings for his mom   and but the reality        aku lagi mimpi di siang bolos    hahaha  bangun bangun dasar pemalas   ,0
well  today is a good day  masak  nongkrong cantik minum es coklat  ke peluncuran buku baru sapardi  ceritain my bestfriend s love story about him  masuk tv ui  dapet hadiah  dan ngabisin sore baca buku baru di danau ditemani kicauan burung dan sepotong senja,1
minta maaf for what  karena sudah hapus nomor dia  itu kan hak kamu untuk hapus or not  yash  kangen selalu ada tapi sebaiknya untuk saat ini pendem aja  kalau suatu saat hubungan kamu sama cowo tersebut sudah baikan seperti temenan normal baru deh becandain bilang  aku kangen kamu tau ,1
eh ya sudah ada sampah senator australia manasin kompor benci sama muslim  zaman saya di sana ada pauline hanson  ngomongnya dulu belum benci muslim  benci orang asia   they should now be allowed here  we were here first   diketawain aborigine,0
bingung nonton five feet apart atau ini dulu   atau why not both    ,1
rich kids and instagram star who owns restaurant in nyc also partied with,0
menemukan caption orang posting kamera film nya   buy film not pixel  nah kamu habis selesai foto didevelop terus di scan jadi nya apa  pixel goblok,0
when you akan lakuin sesuatu yang penting pagi pagi but you tidak sholat subuh rasanya udah gagal dari awal,0
dia terlalu suka debat  saya orangnya slow  if i did something yang dia tidak suka  dia bakalan memulai perdebatan yang melelahkan dan saya akan langsung ok  i am busy  let us talk later udah saya diemin ,1
saya juga pernah terganggu dengan kejadian ini  terus saya minta untuk ketik lengkap well setidak nya  assalam dongs,1
this why  bertebaran worker cina  ktapi buat cina  banggakan infrastruktur hasil hutang cina  melek wooi meleeek  ,0
 saya   sampai kapanpun mega proyek  karena hanya akan yang tentunya    believe it or not   ,0
nder  heyy kuat yuk  dikasih luka sekarang itu  berarti allah memberi space buat kamu untuk mencintai diri kamu sendiri  perbaiki diri kamu  karna aku yakin  apa yang direncanakan sekarang sama tuhan itu pasti ada alasannya  its ok not to be ok  direct message ku terbuka kalau mau curhat  semangat ,1
babi fillet enak not bad lah tapi haram   ,1
hahaha salah has been selfish and greedy  unsur unsur muslim yang baik sudah tergerus pada diri salah akibat sombong dan tidak pernah selebrasi sujud lagi,0
well defined  antara iman kuat sangat sampai tidak bisa kena gangguan mental dan gila beda tipis memang   karena ada norma yang berlaku di sosial  who the judge  the people ,0
wow    elektabilitas yang terus menurun hingga dibawah     sebagai petahana dengan berbagai keuntungan yang ada sementara waktu pilpres masih   bulan lagi     it is really not good,0
you are not alone  chill  ambil data sebulan  ngerjain sebulan  waktu sisa   bulan lebih  ,1
beritanya dihapus ya       not found  ada yang rekomendasi atau kebakaran janggut kah  ,0
merusak schedule saja kamu  katanya mau datang teknisi ke rumah dari pagi sampai sore ditungguin  kacrut dah ,0
if it is not for woo joos family  i would totally ditch sky castle  kerjaannya marah marah mulu sih  ibu ibu yang rambutnya panjang juga rasanya ingin saya tarik mulutnya  julid mulu     ,0
not to mention  pernah ada masa di mana tiap pagi sarapan saya adalah martabak tahu dihancurin pake boncabe level    lada   kalau yang ini  andai balik ke puri imperium saya tetap bakal khilaf sih keknya ,1
akhirnya bisa juga bikin not balok sekalian not angkanya     jakarta  indonesia,1
padahal yang butuh dia yang tidak ontime juga dia  yaudala bye motherfucker i am going to sleep again,0
buat pengusaha seperti saya  tidak semua menguntungkan  tapi jika kita berpikir systemic untuk negara  why not  ,1
ingin bersanding  tapi kamu not responding ,0
 hai put  put apa nih  put your hands up ,1
kalian pake skincare apa aja  sekalian foto skincarenya dong  ini skincare aku  mager fotonya  jadi begini aja yaa  tapi next aku mau coba skin care dari klavuu  karna ada beberapa review  dan itu not bad untuk tipe kulit kaya aku  ,1
gimana mau tidak sayang hoseok  kalau aku nangis  kesel sama dunia dan ngerasa tidak berguna  langsung cari video try not to laugh hoseok vers atau tidak nonton video yang hoseok main suling pake hidung lagu titanic terus diedit itu manjur sangat buat bikin ketawa lagi  thanks hosiki,0
 your not me  kamu straight  you cant judge me  misal suka sama lawan jenis salah dimata tuhan   suka sesama jenis itu benar dimata tuhan  saya akan pilih apapun yang menurut tuhan itu benar  terlepas dari itu bukan adalah hasrat saya yang sebenarnya why  because i love god more than myself or anything ,0
not officially yet  gimana deh  tapi kalau mau cerita ayo  aku baik dalam hal mendengarkan   ,1
jika dia cukup bodoh melepasmu  maka kamu harus cukup pintar melupakannya  life must go on  not to be bodoh,0
morning quotes    setiap yang bertahan tidak ingin kehilangan  bila sudah menjaganya dengan baik tetapi tetap hilang  berarti itu bukan yang terbaik     do not afraid with an army of lion led by a sheep  be afraid with an army sheep led by a lion    have a best tuesday      ,1
you come to love not by finding the perfect person  but by seeing an imperfect person perfectly  sam keen kau mulai mencintai bukan karena menemukan seorang yang sempurna  tapi dengan sempurna melihat orang yang tak sempurna ,1
papa ku kira selama ini saya lagi un  so he acted all supportive and nice  and he found out that i am just having an usbn and it is of course a big deal but not as big as un  gitu  menurut papa jadi kembali lah papaku menjadi normal lagi dengan tidak peduli nilaiku yang penting aku adalah anak yang baik,1
tapi jujur semuanya sekarang kalah sama yang ini    all the ships are going down   love of my life cuy,0
walaupun lelah  semua ini patut untuk di perjuangkan  disini berjuang bersama  marah sedih dikatain nangis jatuh  bangkit  no baper  semua menjadi kenangan manis ketika penonton berdiri dan bertepuk tangan dan berkata  so good well played ,1
pak jokowi bilangin tknnya jangan lengah ya pak  real battlefield is offline not online  selisih suara makin sempit  saya ingin bapak   periode  jangan sampai kejadian pilkada dki ya,1
well  saya belum tahu mau milih capres        tapi saya ngerasa sepertinya capres   bakal menang ,1
ada photography oh my god,1
well wajar  dia punya fisik muka yang dengan mudah orang akan langsung menoleh ke dia  saya yang malah jadi tidak pd jalan sama dia lucu memang karena saya ingin dia pd dengan fisik mukanya tapi malah saya yang malu akan fisik muka saya hahaha,0
oke kalau gitu resign nih  namun siapkah kalian para lelaki membiayai segala kebutuhan dan keperluan wanita  hahaha honestly  it is not my choice,0
om situ kalau jalan ngajak  makanya    nanti tak bantu nawar dah  nek ngagem boso jawi kadosipun saged langkung murah      try to say   awis sanget bu    biasa mboten semonten kok  kirangi bu kirangi    reginipun     ,1
happy birthday buat mama kamu semoga makin cantik  dilancarkan rezekinya  hidupnya berkah  sayang keluarga  wish you mom all the best,1
oh iya lupa salam  assalamualaikum   bridging dikit  i am back tweeps,1
cara lupain nya itu  eror     not found,1
shout out to all my juventini friend   well deserved   semoga tim kita bertemu lagi   ,1
pts  saya sakit apa dok  me  infeksi pts  gimana supaya tidak terjadi lagi  me  infeksi itu bisa terjadi karena   komponen utama diri ibu  lingkungan  dan ada kumannya  theory of host agent environment kicks in  pts  udah begitu saja  me    well surprisingly it took me half of my lifetime to learn that ,0
guys please tell me skz benaran mau ke indo lagi  ,1
menemukan buku ini  punya bokap  pemberian temennya dan dibawa dari jerman   judulnya kurang lebih  kisah kisah hebat tentang third reich dan perang dunia kedua   not fluent in german ,1
timeline isinya si ngelike foto cewe terus  but i am not complaining though,0
kejar setoran memang cukup bangsat  mana rupiah descend,0
dionisius theodore hartono lahir di singapur    november       tumbuh di keluarga yang bergelimang harta  bukan berarti dion bahagia  as the old sayings  money cant buy us happiness    well  sayss what  ,0
case per case basis ya non  karena saya tidak terlalu attach dengan keluarga  dengan senang hati malah  tapi mungkin faktor kerja  bisa dilihat dulu  tidak mungkin downgrade dong  kalau dia anak sultan  why not  bisa rintis usaha  apalagi era      usaha sudah tidak landed base ,0
sabtu lalu di denpasar setelah lombok  keliatan beliau lelah but he did very well     insya allah segar sehat lahir batin prof kesayangan ummat,1
salah  cannot  finish ,0
  poin    ada tenda media     dapet voucher menang kuis    ada karaoke room  why not        sistem registrasi cuma scan masuk  untuk dapet gelang harus antri panjang lagi    ga dapet kipas seperti tahun lalu    antrian stall favorit mengular menutupi stall lain,0
pengen deh ketemu temen lama gitu tapi dulu kasarannya hanya sekedar tahu atau sekedar kenal  pengen tau aja cerita hidup orang gimana  saya percaya sih there must be some insight that could surprise you,1
kafir kamu    ,0
well tergantung  kalau maksud kamu sukses itu bisa hidup enak makan enak kemana mana naik mobil bapak kamu ya oke  tapi kalo bisanya cuma menghabiskan duit  sampai suatu saat benar benar habis  kamu tidak punya skill  apa apa  ada warisan juga tidak bisa mengatur  kamu punya apa  masih bisa disebut sukses  sukses tergantung kamu bukan bapak kamu,0
belom di save  not responding  force close  pas dibuka ga recovered  sedih akutuh,0
pikir sehari sebelumnya mau makan apaan di fjb  akhirnya pilih tahu telor yang well known di surabaya  walaupun antri kurang lebih   jam dan jadinya tidak bisa beli yang lain tapi tidak apa apa saya bangga bisa fokus ke tujuan awal  makasih kecapnya ,1
iya saya terima saya di mute sama kamu  saya di hidden sama kamu  hmm why you lihat lihat insta story saya  hmm kangen ya   ,1
tix id ini semacam nomat a k a nonton hemat is back but in digital way  kemarin cuma top up   rb buat nonton pas di solo kepake cuma   rb  tadi iseng liat jadwal film us dan ternyata saldo masih cukup  langsung sikatlah ,1
what do you do  kalau sudah lama tidak ketemu sama doi karena doi sibuk lagi mengerjakan skripsi tapi doi jalan melulu sama teman teman nya   saya bisa saja nyamper maybe  yaa ibaratnya kamu sibuk karena fokus mengerjakan skripsi  tapi pasti ada waktu yang free buat refreshing   ,1
lmao to be honest i do not see that sih  agak sama aja,1
golongan  golongan mana  saya muslim  golongan siapa yang anda maksud   apakah golongan mereka yang setia dan mengajak orang lain untuk berbuat hina  mabuk  i am sorry  i am not like you  good bye  ,0
habis itu  saya mau cancel tidak bisa karena tidak ada on going order di aplikasi saya  lalu muncul lah telepon telepon dari driver gojek yang katanya terima order dari saya  saya jelaskan kalau saya tidak jadi berangkat  dan mau saya cancel tapi aplikasi error ,1
ini juga yang kemarin dia liat  tapi sih ku yaudah biarin aja dia mau beli or not ,1
coba mulai dari lihat vocab di lagu west  tulis vocabnya  read some books with easy vocab  sumpah it works kalau kamu rajin dan niat  aku pun masih proses,1
yuk  gibisaon era terbaik di tahun         an awal nya silahkan   bekas      gibson usa les paul standard heritage cherry  unchambered      bekas umur    tahun tapi masih ,1
kamu sudah pilih jalan kamu jangan disesalkan  well this is life and you need to choose  bagaimanapun hubungan kalian bisa dibilang toxic karena you already knew he has another lover and that is not you  mantan kamu cuma mau drama  nambah bumbu bumbu cinta kamu  that is bullshit you know,0
selamat brother ridho  belum genap    hari sudah naik   cuma  keep going   ayo brosis  jangan mau ketiggalan  pin d   b    wa              ,1
well  pengalaman ini masih belum disamakan dengan pengalaman kalau sudah padet dan sesak  gua yakin mrt ini akan jadi moda transportasi yang diminati ketika sudah diresmikan karena cepat dan tepat waktu ,1
kalau selfie suka nya metik bunga kebun orang  not etis sama sekali,1
gara gara mas ali info promo ovo cash back aku jadi jajan mulu ini ,1
sekian untuk hari ini  i will be back for vidio and metube  tapi belum tahu kapan  see ya ,1
singkatnya  sudah ada   gelombang upaya restorasi dari si division ini  nah kita main sebagai salah satu agen yang ada di gelombang kedua  kemana gel i nya  they going rosaya  alias membelot   jadi di game ini  selain kamu lawan perusuh  musuh kamu juga adalah agen rahasia yang survive sebelumnya,1
masih ada saja orang dagang tidak kasih tau harga    direct message for price  like  what the fuck  do you want my money or not   ,0
kalau kamu nyamannya kek gitu sih ya gapapa nder  thats not a weird thing kok,1
itu pernyataan bang  because tidak ada tanda tanya di situ,1
ya i used to be like that but i learned that  selama orang itu tidak minta diperbaiki  ya no need to be rude sih hehe takutnya tersinggung  nah ini yang bener malah sok dibenerin  kan gondok saya,0
meskipun suka kalap  wkwkwkwk ampuni hamba ya allah  tapi hamdalah selalu bayar cc lunas tiap bulan  kalau kalap yaaa berarti memang salah diri sendiri  insyafnya buat bulan depan   cc kata saya berguna sangat for someone who cant save money for me  its not good i know but   but  ,1
kadang ingin mencari peluang lain  tapi disisi lain belum bisa meninggalkan keadaan saat ini karena memang udah setengah jalan  feeling like i am not able to compete in looking for another chance   because i still need more experiences here ,0
 dih gitu saja   mana foto nya          sudahlah  thank you temannku  you know me so well  kok  ,1
when you have friends kerjaannya ngeduluin you ngomong mulu  cc  samsolese,0
kamu road to apa   ,1
menang dong pasti sandi   hidup infrastruktur langit   what infrastruktur langit,1
terkes ia wonderfull,1
orang indonesia stupid     ,0
angnya sangat perfeksionis  inginnya segala hal sejalan dan harus perfect   pernah waktu itu di salah satu show dia salah nyanyi in lirik lagu rokkugo terus waktu turun stage mukanya langsung merah terus menangis di ruang make up sampe di tenangin sama taemin ,1
tidak pernah mendalami al quran ya bang    pantesan mulutnya seperti orang kafir bejat hina farhatabbaslaw,0
selalu denger  biar publik yang menilai  publik sudah pintar   well clearly we do not,0
girls protecting girls   wuih keren yaa  mereka saling support   mens protecting girls   modus bangsat ,0
yang ada jin nya itu  nyimpen saya keknya dibookmark tapi bukan thread sih keknya screenshot an gituu,1
aku tim debat sekolah  not so good juga sih  sering masih ada salah  tapi selama latihan awal awal klub  fokus senior aku maksa kita buat terbiasa ngomong sendiri ngomong depan publik ,1
persib weak selalu,0
i think the only person who knows me too well  too well  sampai busuk busuknya pun hanya terlalu banyak petualangan kalau sama dia mah ,1
we age  not by years but by stories   pt  pengangguran banyak duit,1
artinya kalau kamu sejak awal sudah menyuruh bikin sesuatu yang random  mau kita jungkir balik tetap bakal unusable  it is not the interns fault  bilang saja malas supervise anak magang  lebih baikan disuruh fotokopi is quite the extreme  but you get the general sentiment ,0
 get_repost   alakazam tour merah putih gudang garam      thanks to relic management yang telah editing kumpulan video tour merah putih gudang garam      alakazam ,1
wow  so sad to hear that  hopefully all parties can find the best solution   icelandic budget airline wow air collapses  leaving passengers stranded   huffpost ,1
 ah iya  aku fayza  but well known as phey  suka bts sama anime sport   mistery  haikyuu bsd favorite saya    sekarang lagi nonton code guys  kemaren minta recomendation sama komunitas anime di quora  banyak yang sarankan itu hehe  oiya aku domisili bandung,1
nflying rooftop is playing in an indomaret near my place,1
dengan menekan perusahaan tambang dengan target proyek yang impossible  lalu di lelang murah pada antek cina  ntb contoh kasus  pdip mau menang  dasar bajingan ,0
search shoes  not met  susi anggraeni   dede kurniasih ,1
apalagi   kalau godain orang lain  well  aku posesif  rio punyaku    sama   kalau susah dikasih tau  disuruh demi kebaikannya  malah  ,0
jumat include tebet promo lt dari jam    an sampai jam   pagi     diutamakan yang pernah bo yaa   rate lt silahkan direct message wa ,0
been there before  tidak apa apa kak  memang itu benteng pertahanan kita daripada kitati sama orang yang salah  ,1
bukannya susah  soalnya pernah kaya gitu but he s not care haha,0
some of us kali lebih tepatnya  soalnya temen temen saya baik baik saja sama saya tetap main ngajak makan bersama bersama,1
line excuse me i should be the one who said that to you my dear lil brother eh by the way kemarin kan abang datang ke set syuting  terus iseng foto  ganteng tidak ,1
life is like a phone call with a loved one  when it is cut short  we realize how much of it we have wasted   klbseagul  hidup itu ibarat telepon dari sang kekasih  ketika terputus tiba tiba  kita sadar berapa banyak waktu yang telah disia siakan ,0
uh    bakal susah  saya cuma kepikiran c section kalau pun laki laki nantinya bisa melahirkan  there is not enough space between the scrotum and the anus  kalau di belakang anus udah ketemu pantat  man i do not know  anatomy makes my head hurts    ,0
i am not into politics by the way  cuma kasian aja ini dosen saya orangnya baik tapi diginiin sama makhluk tidak bertanggung jawab,0
 saya cabut  ya  jaga diri kamu  saya yakin kamu bisa  duluan  bang arkan  see you when i see you  semoga tuhan iseng lagi nanti bikin kita ketemu    setelahnya  audrey melangkah pelan menuju rumah  meninggalkan segala macam nostalgia bersama arkan di sebuah taman    e n d,1
you re not  kak salka    butuh teman cerita ,1
see  a crowd pleaser   mana itu semua yang komplain soal  this is a family movie   what do you expect  this film serve the purpose to entertain young children,0
timing komedinya bagus sih tapi kadang ada bagian yang menurut saya  ini sepertinya not meant to be funny  tapi ada yang ketawa tuh agak mengganggu distracting hahaha memang pengalaman menonton itu kadang unik,0
apa bedanya donut sama doughtnut ,1
ngeupdate  masih saja sindir orang di status  well  kadang memang otak  hati mulut  tangan tidak sinkron  atau memang tidak ada otak ,0
going all out with your partner cuma di sesi    seseneng itu   makasih tuhan yesus    ,1
thats why selalu males ke cs bank  maunya cuma ganti kartu  buka m banking malah ditawarin unit link ini itu,0
saya benci sangat typo aaakkk my fingers why you  like this typo pas minta approval bos dan aku malu walaupun bos saya tidak peduli neep apaan anjir d sama p kan jauh,0
mashaallah laki saya ganteng amat  nangis saya woy  visualnya tidak pernah bercanda  gans abis  lee donghae sayangku  cintaku padamu  love you to the moon and never back  ,1
mau bilang itu bunga tapi yang lain sudah pada protes  i will give you a bunch of love as well  good morning ,1
ah  memang mesti luangkan waktu buat kemari lagi sambil cuti  tidak buat kerjaan haha  well noted and masuk to do list ,1
